Model,Fold,Test_MSE,Test_R2
Random Forest,1,6.991412084150192e-05,-0.004866060048176024
Random Forest,2,0.00012649914023073994,-0.03597486108866077
Random Forest,3,0.0003970199039941571,0.02006029713757118
Random Forest,4,0.00013034443140567666,-0.016559130786949927
Random Forest,5,0.0001388660876491367,-0.03571821573790013
Gradient Boosting,1,7.857801581181379e-05,-0.12939103295351329
Gradient Boosting,2,0.0001373697266141172,-0.12500040069256468
Gradient Boosting,3,0.0003967494759843476,0.02072777788831537
Gradient Boosting,4,0.00014228245276550318,-0.10966402591738178
Gradient Boosting,5,0.0001473313431360196,-0.09885543993040691
XGBoost,1,7.124696371274993e-05,-0.024022827644962552
XGBoost,2,0.00012683314304855135,-0.03871020397047187
XGBoost,3,0.00040857166321538673,-0.008452196530647216
XGBoost,4,0.00015016750762979512,-0.17115974485687868
XGBoost,5,0.00014446854782315904,-0.07750357999358526
