Feature,Built-in,SHAP,Built-in (norm),SHAP (norm)
Herding_Index,0.048662625,0.0001142985,0.870399,0.9999991
Vol_Spike_PG,0.020908264,0.00010997803,0.3739735,0.9621993
Vol_Spike_MSFT,0.053252596,8.712459e-05,0.952497,0.7622542
Portfolio_Lag2,0.05590841,6.7880355e-05,1.0,0.59388614
Portfolio_Lag1,0.040013023,6.666332e-05,0.71568877,0.5832383
RSI_14_KO,0.018282842,6.6523484e-05,0.32701415,0.58201486
Portfolio_Lag3,0.045770492,5.4429936e-05,0.81866914,0.47620824
RSI_14_CSCO,0.015973695,4.712722e-05,0.28571182,0.4123167
Portfolio_Momentum_3d,0.045120932,4.4963836e-05,0.8070509,0.3933892
Portfolio_Momentum_5d,0.033232827,4.012186e-05,0.5944155,0.3510267
Vol_Spike_CVX,0.043564193,3.5104094e-05,0.7792064,0.3071262
Portfolio_Momentum_10d,0.038846362,3.1468957e-05,0.6948214,0.27532232
RSI_14_AAPL,0.010890429,2.3924948e-05,0.19479053,0.2093197
Vol_Spike_AAPL,0.05577016,2.3864777e-05,0.9975272,0.20879325
RSI_14_PG,0.029700993,2.2864157e-05,0.53124374,0.20003882
RSI_14_GOOG,0.029275399,1.4935317e-05,0.5236314,0.1306693
RSI_14_MSFT,0.021546384,1.394944e-05,0.38538715,0.12204383
RSI_14_PFE,0.03535219,1.3160134e-05,0.63232327,0.11513819
Vol_Spike_PFE,0.041665267,1.2948428e-05,0.74524146,0.11328597
RSI_14_NVDA,0.03018916,1.2757242e-05,0.5399753,0.11161328
RSI_14_CVX,0.018117653,1.2262244e-05,0.32405952,0.10728254
RSI_14_XOM,0.04429024,1.0898948e-05,0.7921928,0.09535504
Vol_Spike_KO,0.013690139,7.3655324e-06,0.24486725,0.064441144
Vol_Spike_CSCO,0.022670789,6.710454e-06,0.4054987,0.058709852
Vol_Spike_NVDA,0.023480104,6.391171e-06,0.41997445,0.055916443
Vol_Spike_XOM,0.01658408,5.8953037e-06,0.29662943,0.051578093
Vol_Spike_GOOG,0.013825207,3.7252937e-06,0.24728313,0.032592647
EMA_Cross_GOOG,0.01487096,1.6946648e-06,0.26598787,0.014826645
EMA_Cross_MSFT,0.051115032,7.634161e-07,0.9142637,0.0066791377
EMA_Cross_AAPL,0.028610904,4.696569e-07,0.5117459,0.0041090343
EMA_Cross_PFE,0.015972208,4.1885517e-07,0.28568524,0.0036645695
EMA_Cross_CSCO,0.022846367,3.9611186e-07,0.40863916,0.003465588
VIX_ZScore_Signal,0.0,0.0,0.0,0.0
EMA_Cross_KO,0.0,0.0,0.0,0.0
EMA_Cross_CVX,0.0,0.0,0.0,0.0
EMA_Cross_PG,0.0,0.0,0.0,0.0
EMA_Cross_NVDA,0.0,0.0,0.0,0.0
EMA_Cross_XOM,0.0,0.0,0.0,0.0
